clin values
-2.072072072072073112e-02 4.720158801937667015e+00
-2.012012012012009965e-02 4.711251572141440747e+00
-1.951951951951952369e-02 4.702249033671086487e+00
-1.891891891891894772e-02 4.693151797528237523e+00
-1.831831831831831625e-02 4.683960480306749830e+00
-1.771771771771774029e-02 4.674675704123142594e+00
-1.711711711711710882e-02 4.665298096546501405e+00
-1.651651651651653285e-02 4.655828290527888491e+00
-1.591591591591590138e-02 4.646266924329229830e+00
-1.531531531531532542e-02 4.636614641451735075e+00
-1.471471471471469394e-02 4.626872090563821871e+00
-1.411411411411411798e-02 4.617039925428594316e+00
-1.351351351351354202e-02 4.607118804830838243e+00
-1.291291291291291055e-02 4.597109392503600844e+00
-1.231231231231233458e-02 4.587012357054320866e+00
-1.171171171171170311e-02 4.576828371890541369e+00
-1.111111111111112715e-02 4.566558115145215702e+00
-1.051051051051049567e-02 4.556202269601612898e+00
-9.909909909909919712e-03 4.545761522617843831e+00
-9.309309309309288238e-03 4.535236566050999230e+00
-8.708708708708712276e-03 4.524628096180940418e+00
-8.108108108108136314e-03 4.513936813633725897e+00
-7.507507507507504840e-03 4.503163423304704871e+00
-6.906906906906928878e-03 4.492308634281291901e+00
-6.306306306306297405e-03 4.481373159765401404e+00
-5.705705705705721442e-03 4.470357716995608577e+00
-5.105105105105089969e-03 4.459263027168989701e+00
-4.504504504504514006e-03 4.448089815362704869e+00
-3.903903903903882533e-03 4.436838810455300930e+00
-3.303303303303306571e-03 4.425510745047761318e+00
-2.702702702702730608e-03 4.414106355384304514e+00
-2.102102102102099135e-03 4.402626381272963130e+00
-1.501501501501523173e-03 4.391071566005938287e+00
-9.009009009008916991e-04 4.379442656279725732e+00
-3.003003003003157367e-04 4.367740402115086518e+00
3.003003003003157367e-04  4.355965556776782321e+00
9.009009009008916991e-04  4.344118876693187303e+00
1.501501501501523173e-03  4.332201121375700126e+00
2.102102102102099135e-03  4.320213053338030740e+00
2.702702702702675097e-03  4.308155438015337957e+00
3.303303303303306571e-03  4.296029043683249782e+00
3.903903903903882533e-03  4.283834641376770058e+00
4.504504504504514006e-03  4.271573004809068763e+00
5.105105105105089969e-03  4.259244910290212793e+00
5.705705705705721442e-03  4.246851136645786617e+00
6.306306306306297405e-03  4.234392465135474737e+00
6.906906906906928878e-03  4.221869679371567763e+00
7.507507507507504840e-03  4.209283565237447178e+00
